,Audio Duration-Train (Seconds),Audio Size-Train (MB),Audio Duration-Test (Seconds),Audio Size-Test (MB),Sampling Rate
SPEAKER_01,412.0,13.1884,0.0,0.0,16000.0
SPEAKER_02,649.0,20.774732,0.0,0.0,16000.0
SPEAKER_03,524.8988125000001,16.804858,0.0,0.0,16000.0
SPEAKER_04,738.0999999999997,23.62888,0.0,0.0,16000.0
SPEAKER_05,144.3584580498866,12.733824,0.0,0.0,44100.0
SPEAKER_06,639.1695238095242,56.380912,0.0,0.0,44100.0
SPEAKER_07,400.442857142857,35.325044,0.0,0.0,44100.0
SPEAKER_08,105.53099773242631,9.308494,0.0,0.0,44100.0
SPEAKER_09,327.29426303854876,28.870742,0.0,0.0,44100.0
SPEAKER_10,59.84,5.278328,0.0,0.0,44100.0
SPEAKER_11,192.36002267573696,16.967474,0.0,0.0,44100.0
SPEAKER_12,706.1609297052152,62.29039,0.0,0.0,44100.0
SPEAKER_13,170.06340136054422,15.000912,0.0,0.0,44100.0
SPEAKER_14,321.1352154195011,28.327426,0.0,0.0,44100.0
SPEAKER_15,896.0596825396826,79.038624,0.0,0.0,44100.0
UniversalModel,1088.8544275793652,58.142558,0.0,0.0,44100.0
